"{'pred': 0.006655113689159168, 'nutriscore': 'c'}"
"{'pred': 0.0036903896868284154, 'nutriscore': 'a'}"
"{'pred': 0.0036763113316452384, 'nutriscore': 'a'}"
"{'pred': 0.003652159711632224, 'nutriscore': 'c'}"
"{'pred': 0.0036491933843745914, 'nutriscore': 'd'}"
"{'pred': 0.003648335609308533, 'nutriscore': 'b'}"
"{'pred': 0.003638165089704441, 'nutriscore': 'd'}"
"{'pred': 0.0036375488808500535, 'nutriscore': 'd'}"
"{'pred': 0.003635577872887207, 'nutriscore': 'd'}"
"{'pred': 0.0036326898952158274, 'nutriscore': 'a'}"
"{'pred': 0.0036221370366212357, 'nutriscore': 'a'}"
"{'pred': 0.003604714366777129, 'nutriscore': 'd'}"
"{'pred': 0.003602263418526961, 'nutriscore': 'd'}"
"{'pred': 0.003599030564089647, 'nutriscore': 'c'}"
"{'pred': 0.0035968595116578385, 'nutriscore': 'c'}"
"{'pred': 0.003595628901802428, 'nutriscore': 'c'}"
"{'pred': 0.0035945160040422534, 'nutriscore': 'a'}"
"{'pred': 0.003584056175461396, 'nutriscore': 'a'}"
"{'pred': 0.0035751690006713046, 'nutriscore': 'e'}"
"{'pred': 0.003575027600574416, 'nutriscore': 'c'}"
"{'pred': 0.003562298631279607, 'nutriscore': 'b'}"
"{'pred': 0.0034735409410509605, 'nutriscore': 'd'}"
"{'pred': 0.003425843700324671, 'nutriscore': 'd'}"
"{'pred': 0.003392925714712042, 'nutriscore': 'd'}"
"{'pred': 0.003345257643995671, 'nutriscore': 'c'}"
"{'pred': 0.0033181021151322573, 'nutriscore': 'd'}"
"{'pred': 0.0032799824914160353, 'nutriscore': 'e'}"
"{'pred': 0.0032352243338497973, 'nutriscore': 'c'}"
"{'pred': 0.003212167934324975, 'nutriscore': 'd'}"
"{'pred': 0.003193005887835264, 'nutriscore': 'c'}"
"{'pred': 0.0031344960924330817, 'nutriscore': 'd'}"
"{'pred': 0.003121702556143431, 'nutriscore': 'c'}"
"{'pred': 0.002909877629601069, 'nutriscore': 'e'}"
"{'pred': 0.0028589255679386705, 'nutriscore': 'e'}"
"{'pred': 0.0028509653748063288, 'nutriscore': 'd'}"
"{'pred': 0.002611898886751378, 'nutriscore': 'd'}"
"{'pred': 0.0024766410133334493, 'nutriscore': 'e'}"
"{'pred': 0.0023592299904741966, 'nutriscore': 'e'}"
"{'pred': 0.002221431986146414, 'nutriscore': 'e'}"
"{'pred': 0.00194313963, 'nutriscore': 'e'}"
"{'pred': 0.0017978522524999788, 'nutriscore': 'd'}"
"{'pred': 0.0011576388490698794, 'nutriscore': 'e'}"
"{'pred': -0.00018160807233396953, 'nutriscore': 'e'}"
"{'pred': -0.008974661389638428, 'nutriscore': 'e'}"
"{'pred': -0.010511271045748652, 'nutriscore': 'e'}"
"{'pred': -0.010511271045748652, 'nutriscore': 'e'}"
